Month,CC Camera Captures during Charging Hours,CC Confirmed Vehicles observed during Charging Hours,Number of Charging Day in Month,Notes
Jul-10,5615063,,22,
Aug-10,5174428,,21,30 Aug Non Charging Day
Sep-10,6198427,,22,
Oct-10,6001932,,21,
Nov-10,6430184,,22,
Dec-10,5302106,,18,25 - 31 Dec Non Charging Days
Jan-11,3606980,,20,03 Jan Non Charging Day
Feb-11,3632452,,20,
Mar-11,4166365,,23,
Apr-11,3165654,,18,"22, 25 & 29 Apr Non Charging Days"
May-11,3624829,,20,02 & 30 May Non Charging Days
Jun-11,3946570,,22,
Jul-11,3727565,,21,
Aug-11,3572270,,22,29 Aug Non Charging Days
Sep-11,3957303,,22,
Oct-11,3782883,,21,
Nov-11,4039480,,22,
Dec-11,3132471,,17,25 - 31 Dec Non Charging Days
Jan-12,3544542,,21,02 Jan Non Charging Day
Feb-12,3478547,,21,
Mar-12,3872264,,22,
Apr-12,3278462,,19,06 & 09 Apr Non Charging Days
May-12,3954389,,22,07 May Non Charging Day
Jun-12,3355166,,19,04 & 05 Jun Non Charging Days
Jul-12,3632959,,22,
Aug-12,3246600,,22,27 Aug Non Charging Day
Sep-12,3399280,,20,
Oct-12,3995722,,23,
Nov-12,3912021,,22,
Dec-12,2817430,,16,25 - 31 Dec Non Charging Days
Jan-13,3553679,,22,01 Jan Non Charging Day
Feb-13,3415336,,20,
Mar-13,3480979,,20,29 Mar Non Charging Day
Apr-13,3528684,,21,01 Apr Non Charging Day
May-13,3752695,,21,06 & 27 May Non Charging Days
Jun-13,3514236,,20,
Jul-13,3926829,,23,
Aug-13,3549395,,21,26 Aug Non Charging Day
Sep-13,3714461,,21,
Oct-13,4115935,,23,
Nov-13,3828967,,21,
Dec-13,3026702,,17,25 - 31 Dec Non Charging Days
Jan-14,3746115,,22,01 Jan Non Charging Day
Feb-14,3548843,,20,
Mar-14,3666990,,21,
Apr-14,3490296,,20,18 & 21 Apr Non Charging Days
May-14,3590632,,20,05 & 26 May Non Charging Days
Jun-14,3674898,,21,
